Sample Name,Reservoir,Date,Date analyzed,Station,Depth,Rep,Max Fl Ex ,Max Fl Em ,Max Fl ,B,T,A,C,M,N,FI,BIX,HIX,T/B,T/M,T/N,T/C,A/T,A/C,A/M,M/C,C/N
F1Jul19_9.0mR1.csv,FCR,7/1/2019,2/3/2020,50,9,1,300,300,24.18741209,0.223856032,0.108407276,0.244877569,0.117924004,0.106823713,0.102168841,1.562346399,0.694208491,2.667634647,0.4842723,1.014824071,1.061060055,0.919297783,2.258866552,2.076571014,2.292352151,0.905869115,1.154207129
F8Jul19_5mR1.csv,FCR,7/8/2019,2/3/2020,50,5,1,300,300,24.90427609,0.211443968,0.094060442,0.219250362,0.110862962,0.093554831,0.089055182,1.544140232,0.689272884,3.091058335,0.444848074,1.005404429,1.056204027,0.848438833,2.330951861,1.977670077,2.343549326,0.843878153,1.244879402
F1Jul19_0.1mR1_Dil.csv,FCR,7/1/2019,2/3/2020,50,0.1,1,300,300,30.56000944,0.949490477,0.311236354,0.274138574,0.11363547,0.131233867,0.197593767,1.482700776,0.676951812,1.118448368,0.327793024,2.371616114,1.575132447,2.738901454,0.880805118,2.412438418,2.08893161,1.154867113,0.575096429
F8Jul19_0.1mR2_Dil.csv,FCR,7/8/2019,2/3/2020,50,0.1,2,300,300,16.31975452,0.364856199,0.128218762,0.228768287,0.1036986,0.096494443,0.102209782,1.518349584,0.637000443,2.685047227,0.351422732,1.328768355,1.254466648,1.23645606,1.784202895,2.206088481,2.370792346,0.930527925,1.014566299
F1Jul19_5mR1.csv,FCR,7/1/2019,2/3/2020,50,5,1,305,304,15.91440244,0.195556489,0.071652998,0.193166863,0.100101222,0.084343303,0.074774054,1.531360249,0.689372856,3.63812192,0.366405628,0.849539869,0.958260178,0.715805432,2.695865731,1.929715335,2.290245419,0.842580153,1.33871599
F22Jul19_0.1mR1_Dil.csv,FCR,7/22/2019,2/5/2020,50,0.1,1,300,300,26.01131197,0.231247688,0.229240834,0.287605564,0.120692895,0.174855073,0.176180748,1.41520266,0.67317259,2.002640671,0.991321626,1.311033361,1.301168468,1.899373066,1.254600058,2.382953559,1.644822531,1.448760285,0.685051552
F22Jul19_5mR2.csv,FCR,7/22/2019,2/5/2020,50,5,2,300,300,19.67771472,0.079778883,0.092272814,0.217523928,0.111620774,0.101591876,0.088390264,1.519128722,0.707175277,3.321345659,1.156606993,0.908269615,1.043925085,0.826663449,2.357399958,1.948776381,2.141154753,0.910152047,1.262817518
F22Jul19_9mR2_Dil.csv,FCR,7/22/2019,2/5/2020,50,9,2,300,300,37.87220649,0.125882216,0.147097223,0.302061991,0.141546012,0.137172664,0.139600171,1.56596425,0.681761283,2.569845394,1.168530612,1.072350849,1.053703744,1.039218416,2.053485342,2.134019785,2.202056749,0.969102992,1.013938675
F5Aug19_5R1.csv,FCR,8/5/2019,2/12/2020,50,5,1,300,300,22.29930648,0.200903717,0.08375958,0.185815828,0.094081549,0.085188626,0.087361531,1.545073441,0.768164142,2.600626683,0.416914037,0.983224918,0.958769599,0.890286993,2.218442703,1.975050683,2.181228144,0.905476435,1.076921944
F29Jul19_9R2_Dil.csv,FCR,7/29/2019,2/12/2020,50,9,2,300,300,109.4778188,1.012458939,0.327031873,0.684911105,0.291795343,0.28470724,0.327438521,1.478097705,0.677720056,2.112082933,0.323007541,1.148660192,0.998758092,1.120757684,2.09432524,2.347231105,2.405668032,0.975708649,0.891145433
F29Jul19_SurfR2_Dil.csv,FCR,7/29/2019,2/12/2020,50,0.1,2,300,300,36.00302516,0.415108018,0.14342749,0.255792937,0.107553614,0.112771859,0.12351304,1.395147734,0.679499456,2.082689318,0.345518476,1.271837588,1.161233576,1.333544118,1.783430342,2.378283043,2.268233745,1.048517618,0.870787521
F29Jul19_5mR1_ReDL.csv,FCR,7/29/2019,2/12/2020,50,5,1,300,300,34.46122046,0.382880875,0.117543224,0.245673788,0.121907933,0.112167164,0.111117265,1.498432708,0.690563737,2.835930913,0.306996855,1.047929003,1.05783043,0.964196678,2.090071885,2.015240367,2.190246946,0.92009733,1.097110636
F5Aug19_SurfR1_Dil.csv,FCR,8/5/2019,2/12/2020,50,0.1,1,300,300,24.69217905,0.397197642,0.143537149,0.26280273,0.116530001,0.115501951,0.120733975,1.40836929,0.642019356,2.38160588,0.361374625,1.24272489,1.18887123,1.231761331,1.830903927,2.255236658,2.275309882,0.991177807,0.965179861
