Sample_id,Sample_Name,Reservoir,Date,Station,Depth,Rep,Dilution,Fmax1,Fmax2,Fmax3,Fmax4
196,p_F27Jun19_99_R2.csv,FCR,6/27/2019,99,0.1,2,1,0.369818732,0.333709123,0.085837627,0.095117147
187,p_F27Jun19_100_R2.csv,FCR,6/27/2019,100,0.1,2,1,0.366296078,0.321817299,0.148388275,0.087019693
188,p_F27Jun19_101_R1.csv,FCR,6/27/2019,101,0.1,1,1,0.358378962,0.327992437,0.096433837,0.091415106
189,p_F27Jun19_102_R1.csv,FCR,6/27/2019,102,0.1,1,1,0.319134498,0.383738181,0.129683113,0.725600773
190,p_F27Jun19_200_R2.csv,FCR,6/27/2019,200,0.1,2,1,0.825516988,0.839517611,0,0.425447564
152,p_F1Jul19_5mR1.csv,FCR,7/1/2019,50,5,1,1,0.430251892,0.515975716,0.192720864,0.221605199
153,p_F1Jul19_9.0mR1.csv,FCR,7/1/2019,50,9,1,1,0.523202064,0.643687779,0.449085653,0.30318886
2,p_20190909_F03Jul19_0.1mR1_50Dil.csv,FCR,7/3/2019,50,0.1,1,2,0.403807841,0.596391921,0.134005061,0.180967316
18,p_20190930_F3Jul19_5m_R1FltDil.csv,FCR,7/3/2019,50,5,1,2,0.40314205,0.624308458,0.12272385,0.2536906
3,p_20190909_F03Jul19_5mR2_50Dil.csv,FCR,7/3/2019,50,5,2,2,0.421390864,0.594958026,0.142337292,0.155412102
4,p_20190909_F03Jul19_9mR1.csv,FCR,7/3/2019,50,9,1,1,0.381726728,0.577024686,0.288699538,0.089902609
244,p_F8Jul19_0.1mR2_Dil.csv,FCR,7/8/2019,50,0.1,2,2,0.555388507,0.562231878,0.124792023,0.380806156
245,p_F8Jul19_5mR1.csv,FCR,7/8/2019,50,5,1,1,0.499745803,0.548235477,0.286312019,0.287419492
246,p_F8Jul19_9.0mR1.csv,FCR,7/8/2019,50,9,1,1,0.440194582,0.549196082,0.535945105,0.272076885
42,p_20200227_F8Jul19_INFR2_Dil.csv,FCR,7/8/2019,100,0.1,2,2,0.438968226,0.382959321,0.040468737,0.221589906
43,p_20200227_F8Jul19_WETR1_Dil.csv,FCR,7/8/2019,200,0.1,1,2,0.818022104,0.771770513,0.123767657,0.137940924
6,p_20190909_F15Jul19_0.1mR1_50Dil.csv,FCR,7/15/2019,50,0.1,1,2,0.461394433,0.683376712,0.120709335,0.298538205
16,p_20190930_F15Jul19_5m_R1_Dil.csv,FCR,7/15/2019,50,5,1,2,0.405308431,0.619207283,0.342763053,0.299348081
7,p_20190909_F15Jul19_5mR2_50Dil.csv,FCR,7/15/2019,50,5,2,2,0.48192363,0.684164977,0.115872664,0.216603969
8,p_20190909_F15Jul19_9.0mR2.csv,FCR,7/15/2019,50,9,2,1,0.38108315,0.549849294,0.251684726,0.095622401
60,p_B18Jul19_01_R1.csv,BVR,7/18/2019,1,0.1,1,1,0.324944733,0.430779626,0.236450722,0.225900188
63,p_B18Jul19_20_R1.csv,BVR,7/18/2019,20,0.1,1,1,0.331559363,0.474097078,0.288582423,0.29675783
64,p_B18Jul19_30_R2.csv,BVR,7/18/2019,30,0.1,2,1,0.343963914,0.445110506,0.498146201,0.242606217
65,p_B18Jul19_45_R1.csv,BVR,7/18/2019,45,0.1,1,1,0.299473877,0.477941104,0.639491491,0.151616102
66,p_B18Jul19_Surf_R1.csv,BVR,7/18/2019,50,0.1,1,1,0.311022138,0.448618355,0.219273043,0.256565293
61,p_B18Jul19_100_R2.csv,BVR,7/18/2019,100,0.1,2,1,0.651289365,0.555221185,0.769686762,0.095231354
62,p_B18Jul19_200_R2.csv,BVR,7/18/2019,200,0.1,2,1,0.62170554,0.712344895,0.900016177,0.23492634
128,p_F18Jul19_01_R1.csv,FCR,7/18/2019,1,0.1,1,1,0.485865933,0.489451027,0.471748959,0.239470431
133,p_F18Jul19_20_R2.csv,FCR,7/18/2019,20,0.1,2,1,0.502426433,0.656036854,0.227130681,0.335681691
134,p_F18Jul19_30_R1.csv,FCR,7/18/2019,30,0.1,1,1,0.496489565,0.625511429,0.124485285,0.358808742
135,p_F18Jul19_45_R1.csv,FCR,7/18/2019,45,0.1,1,1,0.497417477,0.61156515,0.263536141,0.309355332
137,p_F18Jul19_Surf_R1.csv,FCR,7/18/2019,50,0.1,1,1,0.53817717,0.726685434,0.303057523,0.370743451
