i,SampleName,Reservoir,Date,Station,Depth,Rep,Fmax1,Fmax2,Fmax3,Fmax4
19,'p_20191115_F11Sep19_0.1R1_Dil.csv',FCR,9/11/2019,50,0.1,1,0.563041747,0.81601907,0.050492556,0.401135507
68,'p_F11Sep19_5.0R2.csv',FCR,9/11/2019,50,5,2,0.380011381,0.494864133,0.494083976,0.299482355
69,'p_F11Sep19_9.0R2.csv',FCR,9/11/2019,50,9,2,0.298866166,0.493741218,0.111700807,0.200511673
60,'p_20200302_F20Sep19_Surf_R1_Dil.csv',FCR,9/20/2019,50,0.1,1,0.710208807,0.885262639,0.284632985,0.692238293
99,'p_F20Sep19_SurfR2_Dil.csv',FCR,9/20/2019,50,0.1,2,0.713885357,0.815770301,0.4853456,0.797729494
59,'p_20200302_F20Sep19_9R1_Dil.csv',FCR,9/20/2019,50,9,1,0.286349065,0.458744794,0.153982222,0.184495015
98,'p_F20Sep19_9R2_Dil.csv',FCR,9/20/2019,50,9,2,0.352405728,0.439669517,0.193925395,0.244679089
96,'p_F20Sep19_100_R1.csv',FCR,9/20/2019,100,0.1,1,0.496999651,0.478661644,0.38746458,0.142750364
36,'p_20200221_F27Sep19_0.1R1_Dil.csv',FCR,9/27/2019,50,0.1,1,0.635208476,0.918502448,0.22001612,0.731201475
37,'p_20200221_F27Sep19_0.1R2_Dil.csv',FCR,9/27/2019,50,0.1,2,0.635846414,0.954088776,0.287903646,0.719743202
38,'p_20200221_F27Sep19_5R1_Dil.csv',FCR,9/27/2019,50,5,1,0.513983015,0.656490835,1.104538396,0.379553618
39,'p_20200221_F27Sep19_5R2_Dil.csv',FCR,9/27/2019,50,5,2,0.641529803,0.559571814,1.225633097,0.372793434
129,'p_F29Sep19_9R1_Dil.csv',FCR,9/27/2019,50,9,1,0.460054583,0.456718877,0.589307218,0.318798119
40,'p_20200221_F27Sep19_9R2.csv',FCR,9/27/2019,50,9,2,0.347313801,0.497746897,0.348835575,0.217302096
67,'p_F04Oct19_Surf_R1.csv',FCR,10/4/2019,50,0.1,1,0.686398916,0.67939738,0.650431497,0.863541712
144,'p_F4Oct19_5.0R1.csv',FCR,10/4/2019,50,5,1,0.696605487,0.706065875,1.004142143,0.541115435
65,'p_F04Oct19_5m_R2.csv',FCR,10/4/2019,50,5,2,0.527052546,0.548057386,0.986453205,0.260443489
145,'p_F4Oct19_9.0R1.csv',FCR,10/4/2019,50,9,1,0.282203768,0.48003235,0.060893012,0.161077089
66,'p_F04Oct19_9m_R2.csv',FCR,10/4/2019,50,9,2,0.285740721,0.445057189,0.115443935,0.228246962
63,'p_F04Oct19_100_R2.csv',FCR,10/4/2019,100,0.1,2,0.661752935,0.390707773,0.257499119,0.458645206
64,'p_F04Oct19_200_R2.csv',FCR,10/4/2019,200,0.1,2,1.191542205,1.144101164,0.89706952,0.167285261
76,'p_F16Oct19_Surf_R1.csv',FCR,10/16/2019,50,0.1,1,0.540655697,0.727793859,0.491742774,0.643527465
74,'p_F16Oct19_5m_R2.csv',FCR,10/16/2019,50,5,2,0.65520649,0.854814768,0.612531412,0.682049863
75,'p_F16Oct19_9m_R2.csv',FCR,10/16/2019,50,9,2,0.275203656,0.429716618,0.465738223,0.281010958
112,'p_F23Oct19_Surf_R2.csv',FCR,10/23/2019,50,0.1,2,0.580562119,0.794682647,0.258452936,0.533059483
110,'p_F23Oct19_5m_R2.csv',FCR,10/23/2019,50,5,2,0.58803221,0.70892914,0.285993728,0.443885687
111,'p_F23Oct19_9m_R2.csv',FCR,10/23/2019,50,9,2,0.353478102,0.517681163,0.330857191,0.2790373
139,'p_F30Oct19_Surf_R1.csv',FCR,10/30/2019,50,0.1,1,0.646331962,0.555743479,1.240320121,0.935756871
137,'p_F30Oct19_5m_R2.csv',FCR,10/30/2019,50,5,2,0.493424306,0.738797749,0.638401209,0.376545178
138,'p_F30Oct19_9m_R2.csv',FCR,10/30/2019,50,9,2,0.383275479,0.66337244,0.262068312,0.266519185
155,'p_F8Nov19_0.1R1.csv',FCR,11/8/2019,50,0.1,1,0.583457875,0.763879217,0.296487839,0.507767762
157,'p_F8Nov19_5.0R2.csv',FCR,11/8/2019,50,5,2,0.613662616,0.776349167,0.282923195,0.493784732
158,'p_F8Nov19_9.0R2.csv',FCR,11/8/2019,50,9,2,0.614547504,0.792907906,0.387924717,0.488419553
156,'p_F8Nov19_100_R2.csv',FCR,11/8/2019,100,0.1,2,0.460175052,0.351663605,0.242595999,0.086528659
95,'p_F20Nov19_Surf_R2.csv',FCR,11/20/2019,50,0.1,2,0.573100653,0.757159417,0.284740823,0.424976157
93,'p_F20Nov19_5m_R1.csv',FCR,11/20/2019,50,5,1,0.592369463,0.778665952,0.459617658,0.368354548
94,'p_F20Nov19_9m_R1.csv',FCR,11/20/2019,50,9,1,0.623829545,0.735053047,0.376022525,0.463728554
133,'p_F30Mar20_50_R2.csv',FCR,3/30/2020,50,0.1,2,0.517789373,0.528936658,0.205570281,0.214038137
86,'p_F19mar20_100_R1.csv',FCR,3/30/2020,100,0.1,1,0.611844526,0.302827016,0.434638026,0.147302623
85,'p_F19Mar20_200_R1.csv',FCR,3/30/2020,200,0.1,1,0.895403826,0.737364447,0.533895739,0.088302023
