Date,Station,Depth,Fmax1,Fmax2,Fmax3,Fmax4,BIX,HIX,T/B,A/C,M/C,ch4_umolL,co2_umolL,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,temp,DO,chla,Flora_ugL,Flow_cms,Rain_Total_mm,ShortwaveRadiationUp_Average_W_m2
2019-04-16T05:00:00Z,50,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5242460625,41.70393303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1015
2019-04-16T05:00:00Z,50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1876114965,82.51341182499999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-16T05:00:00Z,50,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.140719009,97.914689815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-16T05:00:00Z,100,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0175988915,28.438133739999998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09825179532319067,NA,NA
2019-04-16T05:00:00Z,200,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9187602720000001,62.25674534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-22T05:00:00Z,50,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2850297805,35.72290179,165,6.9,14,6,4,5.8,1.5,7.2,0.3,NA,NA,NA,8.216666666666667,NA,0,1007
2019-04-22T05:00:00Z,50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.28279591550000005,51.489000055,198,10.3,9,3,4,3.1,2,5.2,0.15,NA,NA,NA,7.715714285714286,NA,NA,NA
2019-04-22T05:00:00Z,50,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10351964050000001,126.0692343,355.5,14.8,65,27,6,2.2,3.2,5.3,0.2,NA,NA,NA,4.375454545454546,NA,NA,NA
2019-04-22T05:00:00Z,100,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0044069999999999995,27.500067755,371,8.1,7,33,9,2.3,2.3,4.5,0.1,NA,NA,NA,NA,0.0908041840319965,NA,NA
2019-04-22T05:00:00Z,200,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8359067150000001,66.77579938,549,110.1,16,93,4,2.2,3.6,5.7,0.2,NA,NA,NA,NA,NA,NA,NA
2019-04-29T05:00:00Z,50,0.1,0.412071478,0.408787026,0.100339685,0.139146931,0.599307899,4.24271384,0.263809046,1.996140913,0.79240828,NA,NA,265.8,12.8,12,3,3,3.1,2.4,5.5,0.15,NA,NA,NA,3.63,NA,0,921
2019-04-29T05:00:00Z,50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,423,11.1,8,6,2,2,3,5,0.1,NA,NA,NA,8.212,NA,NA,NA
2019-04-29T05:00:00Z,50,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,388,10.7,33,9,6,2.8,2.3,5,0.15,NA,NA,NA,4.4959999999999996,NA,NA,NA
2019-04-29T05:00:00Z,100,0.1,0.321256871,0.288681337,0.095804344,0.156801772,0.637593603,3.210889668,0.245339516,2.001004637,0.81712821,NA,NA,213,22,7,3,1,3,1.8,4.8,0.1,NA,NA,NA,NA,0.08776707044798479,NA,NA
2019-04-29T05:00:00Z,200,0.1,0.652252678,0.563834449,0.409033165,0.12949759,0.551489469,5.048493527,1.093054098,2.011949198,0.714239973,NA,NA,318,64.7,22,58,3,1.4,3.4,4.7,0.1,NA,NA,NA,NA,NA,NA,NA
2019-05-06T05:00:00Z,50,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7232016404999999,25.10442643,395,9.5,32,5,6,2.4,2.7,5.1,0.1,20.4,9.33,NA,4.26,NA,0,1158
2019-05-06T05:00:00Z,50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.069370663,99.68800325,355,2.6,4,3,3,1.7,3,4.7,0.1,10.1,8.02,NA,7.708333333333333,NA,NA,NA
2019-05-06T05:00:00Z,50,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0404151575,174.3613104,501,10.5,159,32,2,2.2,3.6,5.8,0.3,8.3,5.91,NA,4.7283333333333335,NA,NA,NA
2019-05-06T05:00:00Z,100,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0228027205,27.116845050000002,184.5,15.9,11,45,8,2.7,1.6,4.2,0.15,NA,NA,NA,NA,0.08070727399126201,NA,NA
2019-05-06T05:00:00Z,200,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2821585129999997,83.53375448,420,38,20,82,10,5.6,1.9,7.5,0.2,NA,NA,NA,NA,NA,NA,NA
2019-05-13T05:00:00Z,50,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.694031443,29.90429038,168,7.2,6,3,4,1.9,3.3,5.1,0.1,21.1,9.33,NA,8.184999999999999,NA,2.286,1308
2019-05-13T05:00:00Z,50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.045875548,139.67918344999998,370,5.1,8,3,3,2.1,3.2,5.4,0.1,10.2,7.89,NA,8.49764705882353,NA,NA,NA
2019-05-13T05:00:00Z,50,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NaN,NaN,744,29.1,308,3,1,2.4,4.3,6.8,0.4,8.4,5.2,NA,7.68,NA,NA,NA
2019-05-13T05:00:00Z,100,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.14546e-4,23.56686171,402,12.8,8,28,10,3.3,1.7,5,0.1,NA,NA,NA,NA,0.06040044873348934,NA,NA
2019-05-13T05:00:00Z,200,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2244026385,102.72054452,286.5,57.5,31,38,3,2.1,4.6,6.7,0.1,NA,NA,NA,NA,NA,NA,NA
2019-05-16T05:00:00Z,50,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.449322554,13.623773995,225,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.74,NA,0,1116
2019-05-16T05:00:00Z,50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1001551265,100.1809425,177,9.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.844,NA,NA,NA
