Sample Name,Reservoir,Date,Date analyzed,Station,Depth,Rep,Dilution,a254,a350,Sr,Max Fl Ex ,Max Fl Em ,Max Fl ,B,T,A,C,M,N,FI,BIX,HIX,T/B,T/M,T/N,T/C,A/T,A/C,A/M,M/C,C/N
F30May19_01_R2.csv,FCR,5/30/2019,7/30/2020,1,0.1,2,1,,,,300,300,10.61521051,0.041871841,0.048496264,0.160544572,0.078603251,0.064596664,0.054887658,1.457009929,0.618506967,4.378914499,1.15820711,0.750754933,0.883554994,0.616975296,3.310452334,2.04246731,2.485338419,0.821806517,1.432075156
F30May19_20_R1.csv,FCR,5/30/2019,7/28/2020,20,0.1,1,1,,,,305,304,8.830485626,0.141020604,0.106122543,0.159451244,0.076038798,0.071124523,0.081087272,1.453592812,0.642837567,2.104228692,0.752532182,1.492066855,1.308744759,1.395636776,1.502520008,2.09697218,2.241860303,0.935371476,0.937740236
F30May19_30_R2.csv,FCR,5/30/2019,7/29/2020,30,0.1,2,1,,,,300,300,9.892657476,0.041054468,0.055470198,0.173045332,0.083848406,0.070130118,0.062759743,1.431432356,0.602308318,4.404051041,1.351136675,0.790961141,0.883849991,0.661553398,3.119609054,2.06378797,2.467489537,0.836391782,1.336022147
F30May19_45_R1.csv,FCR,5/30/2019,7/30/2020,45,0.1,1,1,,,,300,300,6.293860706,0.054689072,0.057305782,0.165977275,0.081448872,0.06736021,0.057363397,1.440188991,0.593244804,3.756395552,1.047847033,0.850736383,0.9989956,0.70357981,2.896344323,2.03780939,2.464025493,0.827024475,1.419875308
F30May19_50_R1.csv,FCR,5/30/2019,7/31/2020,50,0.1,1,1,,,,305,304,8.606591804,0.134769118,0.11141235,0.180566453,0.084196452,0.083385134,0.094384068,1.435095307,0.628283755,2.268591513,0.826690506,1.336117661,1.180414801,1.323242814,1.620704097,2.144585051,2.165451367,0.990363988,0.892062128
F30May19_99_R2.csv,FCR,5/30/2019,7/30/2020,99,0.1,2,1,,,,300,300,9.525353224,0.068545464,0.076494379,0.150459712,0.073568288,0.062167375,0.067130291,1.450081447,0.624087015,3.154110198,1.11596559,1.230458558,1.139491253,1.039773814,1.966938141,2.045170772,2.42023587,0.845029527,1.095903011
F30May19_100_R2.csv,FCR,5/30/2019,7/29/2020,100,0.1,2,1,,,,240,484,11.97411471,0.05639381,0.064566224,0.126286103,0.062692817,0.054669193,0.05974565,1.434773257,0.641638113,3.127668689,1.144916862,1.181034882,1.080684931,1.029882323,1.955915882,2.014363191,2.310004883,0.872016854,1.049328557
F30May19_101_R2.csv,FCR,5/30/2019,7/30/2020,101,0.1,2,1,,,,300,300,15.97877667,0.048330388,0.044605236,0.139345371,0.062711144,0.053693637,0.048870532,1.406609568,0.62755709,2.861239589,0.922923204,0.830735982,0.912722543,0.711280862,3.123968889,2.222019286,2.595193362,0.856205675,1.283209757
F30May19_102_R1.csv,FCR,5/30/2019,7/30/2020,102,0.1,1,1,,,,300,300,9.398356043,0.049644697,0.048358085,0.124641711,0.059576695,0.052995512,0.047674428,1.417669056,0.642892521,3.007230826,0.974083601,0.91249397,1.014340108,0.811694661,2.577474103,2.092121969,2.351929576,0.889534275,1.249657237
F30May19_200_R2.csv,FCR,5/30/2019,7/30/2020,200,0.1,2,1,,,,300,300,11.9312718,0.0978568,0.131357995,0.320933584,0.162495011,0.115127948,0.111744268,1.426673267,0.534144862,3.900593353,1.342349181,1.14097399,1.175523333,0.808381709,2.443197955,1.975036539,2.78762532,0.708501435,1.454168643
F3Jun19_0.1mR2.csv,FCR,6/3/2019,1/17/2020,50,0.1,2,2,,,,305,304,6.446236546,0.078911874,0.075555193,0.162960086,0.078258379,0.068494878,0.067476029,1.417570771,0.602834586,3.292267839,0.957462917,1.103077997,1.11973383,0.965458183,2.156835021,2.082334022,2.379157255,0.875240179,1.159795265
F3Jun19_5.0mR1.csv,FCR,6/3/2019,1/17/2020,50,5,1,1,,,,300,300,17.70951484,0.077628555,0.093130511,0.181188313,0.08941381,0.07571526,0.076533813,1.47903036,0.674200847,2.799385495,1.19969399,1.230009797,1.216854448,1.041567414,1.94553117,2.026401869,2.393022399,0.846796031,1.168291588
20200224_F3Jun19_INFR2.csv,FCR,6/3/2019,2/24/2020,100,0.1,2,1,,,,300,300,24.39557266,0.032314463,0.032468546,0.129774258,0.064892903,0.050647188,0.044484225,1.39633857,0.61765759,4.172037446,1.004768242,0.641073015,0.729888987,0.500340471,3.996922392,1.999822033,2.562319087,0.780473456,1.458784625
20200224_F3Jun19_WETR2_Dil.csv,FCR,6/3/2019,2/24/2020,200,0.1,2,2,,,,300,300,40.61379248,0.073475754,0.066055243,0.288473532,0.143686856,0.10299177,0.088388631,1.396258274,0.547513615,5.824907989,0.899007356,0.64136429,0.747327373,0.459716672,4.367155687,2.007654278,2.800937706,0.716779339,1.625625997
Na,Na,6/3/2019,Na,50,9,Na,Na,,,,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na,Na
F6Jun19_Surf_R1.csv,FCR,6/6/2019,3/23/2020,50,0.1,1,1,,,,300,300,9.271936201,0.118283343,0.111349615,0.184898643,0.086160278,0.081478894,0.091147631,1.406978088,0.642058398,2.536927264,0.941380345,1.36660685,1.221640242,1.292354399,1.660523422,2.145984749,2.269282684,0.94566656,0.945282689
20200224_F6Jun19_0.1R2_Dil.csv,FCR,6/6/2019,2/24/2020,50,0.1,2,2,,,,305,304,22.4591969,0.082087223,0.086234744,0.19058165,0.088148606,0.080766198,0.073949676,1.399901487,0.65750439,2.72486104,1.05052578,1.067708348,1.166127418,0.978288232,2.210033233,2.162049503,2.359670933,0.916250429,1.192008019
20200224_F6Jun19_5R2.csv,FCR,6/6/2019,2/24/2020,50,5,2,1,,,,300,300,9.752189284,0.094502342,0.086813536,0.180500628,0.091869178,0.076163115,0.07986011,1.505630647,0.6491383,3.189595015,0.918638991,1.139837003,1.087070076,0.944969116,2.079176077,1.964757179,2.369921829,0.829038813,1.150376301
20200224_F6Jun19_9R1_Dil.csv,FCR,6/6/2019,2/24/2020,50,9,1,2,,,,310,310,13.16814435,0.083051381,0.0739271,0.169384255,0.084610713,0.074359923,0.073925129,1.548210836,0.702220864,2.839143854,0.890136914,0.99417935,1.000026658,0.873732153,2.291233591,2.001924458,2.277897123,0.878847617,1.14454602
20200124_F10Jun19_0.1R2_Dil.csv,FCR,6/10/2019,1/24/2020,50,0.1,2,2,,,,300,300,12.06491622,0.126221077,0.028280238,0.173937501,0.084737272,0.083066537,0.074208383,1.536314913,0.608367075,3.031030488,0.224053214,0.340452834,0.381092225,0.333740244,6.15049638,2.052668166,2.093953922,0.98028335,1.141882739
20200124_F10Jun19_5R2_Dil.csv,FCR,6/10/2019,1/24/2020,50,5,2,2,,,,300,300,17.83764944,0.076468502,0.00877561,0.193428956,0.099747969,0.081925952,0.060696322,1.517062928,0.603726321,5.446221741,0.114761108,0.107116363,0.144582237,0.087977832,22.0416537,1.939176895,2.361021772,0.821329527,1.643393961
20200124_F10Jun19_9R1_Dil.csv,FCR,6/10/2019,1/24/2020,50,9,1,2,,,,300,300,11.9543044,0.124776236,0.028020963,0.173163841,0.085011885,0.082916991,0.073867427,1.536314913,0.60696787,3.057719702,0.22456971,0.337939944,0.379341265,0.329612304,6.179796182,2.036936857,2.088399974,0.975357634,1.15087107
20200114F13Jun19_0.1R2.csv,FCR,6/13/2019,1/14/2020,50,0.1,2,1,,,,300,300,11.90656829,0.076327581,0.08376647,0.20779595,0.097516111,0.083346646,0.080950005,1.416952649,0.624577397,3.430744615,1.097460038,1.005037085,1.034792646,0.859001345,2.480657828,2.130888411,2.493153111,0.854696168,1.20464613
20190909_F13Jun19_5mR1.csv,FCR,6/13/2019,9/9/2019,50,5,1,1,,,,305,304,4.592585979,0.02686084,0.020163486,0.173300682,0.094509765,0.072019237,0.052958106,1.4998147,0.627947217,9.35611772,0.750664764,0.279973618,0.3807441,0.213348181,8.594777618,1.833680175,2.406310983,0.762029591,1.784613756
20190905_3DEEM_F13Jun19_9.0R1.csv,FCR,6/13/2019,9/9/2019,50,9,1,1,,,,300,300,12.64798685,0.034458947,0.048377092,0.16839758,0.087502677,0.071552138,0.059692047,1.521671528,0.671432572,4.801836667,1.403905122,0.67610966,0.810444505,0.552864134,3.480936413,1.924484896,2.353494736,0.817713703,1.465901756
20200131_F17Jun19_0.1R1_Dil.csv,FCR,6/17/2019,1/31/2020,50,0.1,1,2,,,,305,304,15.60000242,0.071730189,0.077706371,0.190512708,0.087680468,0.078836505,0.073902841,1.384460542,0.633905315,3.77892313,1.083314744,0.985664841,1.051466628,0.88624494,2.451699968,2.172806692,2.416554459,0.899134172,1.186428921
20200131_F17Jun19_5R2.csv,FCR,6/17/2019,1/31/2020,50,5,2,1,,,,300,300,9.994495206,0.026066094,0.029303695,0.097763988,0.049542227,0.042572972,0.035221486,1.532843766,0.677911584,3.843361632,1.124207406,0.688316885,0.831983499,0.591489269,3.336234119,1.973346681,2.296386278,0.859326978,1.406591028
20200131_F17Jun19_9R2.csv,FCR,6/17/2019,1/31/2020,50,9,2,1,,,,300,300,9.971508505,0.02597622,0.029202659,0.097422719,0.049511246,0.042477619,0.035140479,1.532843766,0.676352431,3.848783873,1.124207406,0.687483409,0.831026194,0.589818694,3.336090745,1.967688687,2.293507037,0.857938805,1.40895194
20200227_F17Jun19_INFR2.csv,FCR,6/17/2019,2/27/2020,100,0.1,2,1,,,,300,300,14.28350314,0.025943163,0.035104287,0.126909275,0.065851065,0.051293587,0.045310202,1.429654268,0.639584257,4.687339566,1.353122844,0.684379643,0.774754579,0.533086085,3.615207341,1.927216727,2.47417431,0.778933287,1.453338591
20200227_F17Jun19_WETR2_Dil.csv,FCR,6/17/2019,2/27/2020,200,0.1,2,2,,,,305,304,25.55120616,0.045836949,0.05756078,0.293541168,0.151721689,0.104089961,0.081809201,1.464342606,0.545747674,5.753420322,1.255772488,0.552990691,0.703597868,0.37938399,5.099673238,1.934734381,2.820071828,0.686058547,1.854579756
20200228_F20Jun19_SurfR2_Dil.csv,FCR,6/20/2019,2/28/2020,50,0.1,2,4,,,,300,300,14.79511542,0.240514694,0.289741439,0.218124659,0.088171627,0.107464529,0.160343083,1.395829559,0.691949992,1.332805982,1.204672505,2.696158822,1.807009281,3.286107437,0.752825208,2.473864515,2.029736325,1.21881078,0.549893549
20200228_F20Jun19_5R1.csv,FCR,6/20/2019,2/28/2020,50,5,1,1,,,,300,300,22.24215958,0.077964892,0.076916227,0.212190852,0.101320234,0.087380282,0.077485575,1.531013041,0.702701312,2.859358399,0.986549528,0.88024695,0.992652212,0.759139851,2.758726741,2.094259408,2.4283608,0.862416906,1.307601241
20200228_F20Jun19_9R2_Dil.csv,FCR,6/20/2019,2/28/2020,50,9,2,2,,,,300,300,20.37568637,0.218579894,0.158100403,0.242662854,0.106575367,0.168781714,0.143961977,1.511370633,0.693538122,1.89090877,0.723307165,0.936715239,1.098209446,1.483461021,1.534865495,2.276913135,1.437731899,1.583684091,0.740302192
20200131_F24Jun19_0.1R1_Dil.csv,FCR,6/24/2019,1/31/2020,50,0.1,1,2,,,,305,304,15.81702008,0.072728055,0.078425379,0.191830831,0.087918172,0.079355328,0.074415111,1.384460542,0.633905315,3.763189658,1.078337365,0.988281208,1.053890509,0.892026962,2.446029998,2.181924708,2.417365481,0.902604395,1.181455891
20200131_F24Jun19_5R1_Dil.csv,FCR,6/24/2019,1/31/2020,50,5,1,2,,,,300,300,12.96352852,0.166528768,0.183761625,0.228939736,0.10939376,0.108900416,0.13402981,1.572551748,0.732583028,1.781989991,1.103482766,1.687428132,1.371050406,1.679818161,1.245851716,2.092804339,2.102285234,0.995490196,0.816189775
