i,Sample_Label,Reservoir,Date,Station,Depth,Rep,Fmax1,Fmax1_perc,Fmax2,Fmax2_perc,Fmax3,Fmax3_perc,Fmax4,Fmax4_perc
54,'p_20200228_F20Jun19_SurfR2_Dil.csv',FCR,6/20/2019,50,0.1,2,0.47,25.48,0.63,34.22,0.02,0.85,0.73,39.44
52,'p_20200228_F20Jun19_5R1.csv',FCR,6/20/2019,50,5,1,0.53,32.56,0.49,30.54,0.33,20.56,0.26,16.34
53,'p_20200228_F20Jun19_9R2_Dil.csv',FCR,6/20/2019,50,9,2,0.48,25.60,0.82,44.15,0.09,4.91,0.47,25.34
28,'p_20200131_F24Jun19_0.1R1_Dil.csv',FCR,6/24/2019,50,0.1,1,0.48,37.19,0.53,41.47,0.06,4.60,0.21,16.73
29,'p_20200131_F24Jun19_5R1_Dil.csv',FCR,6/24/2019,50,5,1,0.43,23.58,0.70,38.87,0.12,6.63,0.56,30.92
30,'p_20200131_F24Jun19_9R2_Dil.csv',FCR,6/24/2019,50,9,2,0.42,30.13,0.59,42.34,0.23,16.92,0.15,10.61
85,'p_B27Jun19_01_R1.csv',BVR,6/27/2019,1,0.1,1,0.31,29.22,0.38,36.64,0.13,12.40,0.23,21.74
88,'p_B27Jun19_20_R1.csv',BVR,6/27/2019,20,0.1,1,0.30,28.70,0.39,37.82,0.13,12.77,0.22,20.72
89,'p_B27Jun19_30_R1.csv',BVR,6/27/2019,30,0.1,1,0.34,28.33,0.45,37.65,0.16,13.49,0.25,20.53
90,'p_B27Jun19_45_R1.csv',BVR,6/27/2019,45,0.1,1,0.31,27.41,0.41,35.97,0.16,14.30,0.25,22.31
91,'p_B27Jun19_50_R1.csv',BVR,6/27/2019,50,0.1,1,0.31,29.27,0.38,36.49,0.15,14.40,0.21,19.84
86,'p_B27Jun19_100_R1.csv',BVR,6/27/2019,100,0.1,1,0.66,43.71,0.43,28.16,0.35,23.18,0.07,4.94
87,'p_B27Jun19_200_R2.csv',BVR,6/27/2019,200,0.1,2,0.73,30.85,0.77,32.90,0.40,17.03,0.45,19.22
187,'p_F27Jun19_01_R2.csv',FCR,6/27/2019,1,0.1,2,0.43,32.70,0.41,31.06,0.28,21.33,0.20,14.91
192,'p_F27Jun19_20_R1.csv',FCR,6/27/2019,20,0.1,1,0.48,29.36,0.63,38.76,0.00,0.00,0.52,31.88
193,'p_F27Jun19_30_R1.csv',FCR,6/27/2019,30,0.1,1,0.44,30.84,0.58,40.51,0.05,3.78,0.36,24.86
194,'p_F27Jun19_45_R1.csv',FCR,6/27/2019,45,0.1,1,0.44,29.16,0.57,37.80,0.01,0.66,0.49,32.38
58,'p_20200228_F27Jun19_SurfR2_Dil.csv',FCR,6/27/2019,50,0.1,2,0.47,34.56,0.56,41.71,0.05,3.71,0.27,20.03
195,'p_F27Jun19_50_R2.csv',FCR,6/27/2019,50,0.1,2,0.44,33.91,0.52,39.77,0.04,2.82,0.31,23.50
56,'p_20200228_F27Jun19_5R1_Dil.csv',FCR,6/27/2019,50,5,1,0.50,35.62,0.61,43.36,0.07,4.76,0.23,16.25
196,'p_F27Jun19_5m_R1.csv',FCR,6/27/2019,50,5,1,0.50,27.61,0.75,41.27,0.08,4.46,0.48,26.66
198,'p_F27Jun19_9m_R1.csv',FCR,6/27/2019,50,9,1,0.42,24.34,0.59,34.24,0.17,10.18,0.54,31.24
57,'p_20200228_F27Jun19_9R2_Dil.csv',FCR,6/27/2019,50,9,2,0.49,28.97,0.72,42.59,0.07,4.06,0.41,24.38
197,'p_F27Jun19_99_R2.csv',FCR,6/27/2019,99,0.1,2,0.40,44.65,0.32,35.61,0.07,7.77,0.11,11.97
188,'p_F27Jun19_100_R2.csv',FCR,6/27/2019,100,0.1,2,0.40,41.92,0.30,31.69,0.16,16.58,0.09,9.80
189,'p_F27Jun19_101_R1.csv',FCR,6/27/2019,101,0.1,1,0.37,41.60,0.34,39.03,0.06,6.66,0.11,12.71
190,'p_F27Jun19_102_R1.csv',FCR,6/27/2019,102,0.1,1,0.33,20.66,0.39,24.03,0.13,8.32,0.75,46.99
191,'p_F27Jun19_200_R2.csv',FCR,6/27/2019,200,0.1,2,0.89,41.70,0.82,38.44,0.00,0.00,0.42,19.86
155,'p_F1Jul19_0.1mR1_Dil.csv',FCR,7/1/2019,50,0.1,1,0.59,23.91,0.66,26.82,0.23,9.23,0.99,40.03
156,'p_F1Jul19_5mR1.csv',FCR,7/1/2019,50,5,1,0.45,32.24,0.53,38.54,0.17,12.42,0.23,16.80
157,'p_F1Jul19_9.0mR1.csv',FCR,7/1/2019,50,9,1,0.53,27.41,0.65,33.37,0.42,21.58,0.34,17.63
2,'p_20190909_F03Jul19_0.1mR1_50Dil.csv',FCR,7/3/2019,50,0.1,1,0.44,32.78,0.59,44.15,0.12,8.66,0.19,14.42
18,'p_20190930_F3Jul19_5m_R1FltDil.csv',FCR,7/3/2019,50,5,1,0.45,31.07,0.62,43.55,0.09,6.37,0.27,19.01
3,'p_20190909_F03Jul19_5mR2_50Dil.csv',FCR,7/3/2019,50,5,2,0.43,32.77,0.60,45.59,0.13,9.53,0.16,12.11
4,'p_20190909_F03Jul19_9mR1.csv',FCR,7/3/2019,50,9,1,0.41,30.30,0.55,40.24,0.31,22.68,0.09,6.78
246,'p_F8Jul19_0.1mR2_Dil.csv',FCR,7/8/2019,50,0.1,2,0.55,33.70,0.61,37.33,0.07,4.11,0.41,24.86
247,'p_F8Jul19_5mR1.csv',FCR,7/8/2019,50,5,1,0.51,30.79,0.57,34.69,0.24,14.45,0.33,20.06
248,'p_F8Jul19_9.0mR1.csv',FCR,7/8/2019,50,9,1,0.44,24.28,0.56,30.67,0.50,27.07,0.33,17.98
