"time","depth","temp","DO","chla"
2019-02-08,5.115,4.4109,10.4523,4.0975
2019-02-08,5.117,4.4087,10.4493,4.0975
2019-02-08,5.122,4.4145,10.4577,4.1204
2019-02-08,5.143,4.4148,10.4584,4.1089
2019-02-08,5.168,4.4127,10.4596,4.0288
2019-02-08,5.182,4.4091,10.4671,4.0403
2019-02-08,5.192,4.4065,10.4609,4.0364
2019-02-08,5.202,4.4054,10.4576,4.0326
2019-02-08,5.222,4.4048,10.447,4.0975
2019-02-08,5.246,4.405,10.4351,4.1089
2019-02-08,5.266,4.4057,10.432,4.1013
2019-02-08,5.287,4.4088,10.43705,4.067
2019-02-08,5.29,4.413,10.4547,3.9983
2019-02-08,5.3,4.4094,10.4449,4.1471
2019-02-08,5.303,4.4075,10.4268,4.1738
2019-02-08,5.312,4.4087,10.4275,4.1585
2019-02-08,5.313,4.4081,10.4273,4.1623
2019-02-08,5.324,4.4144,10.4544,3.9754
2019-02-08,5.361,4.4122,10.4522,3.983
2019-02-08,5.388,4.4078,10.446,3.9754
2019-02-08,5.411,4.4043,10.443,4.3607
2019-02-08,5.43,4.4014,10.4487,4.3645
2019-02-08,5.443,4.3995,10.4488,4.3531
2019-02-08,5.459,4.3984,10.4525,4.3302
2019-02-08,5.472,4.3962,10.4632,4.5286
2019-02-08,5.484,4.3921,10.4673,4.5247
2019-02-08,5.5,4.3852,10.4714,4.5438
2019-02-08,5.522,4.3764,10.483,4.5019
2019-02-08,5.546,4.3682,10.4791,4.6392
2019-02-08,5.567,4.3614,10.4843,4.6277
2019-02-08,5.584,4.3562,10.492,4.6316
2019-02-08,5.602,4.3528,10.4883,4.6239
2019-02-08,5.621,4.3501,10.4911,4.086
2019-02-08,5.636,4.3478,10.4912,4.0975
2019-02-08,5.65,4.3463,10.4878,4.1127
2019-02-08,5.668,4.3451,10.4922,4.086
2019-02-08,5.689,4.3437,10.4902,4.086
2019-02-08,5.709,4.3423,10.4856,4.1204
2019-02-08,5.727,4.3413,10.4881,4.1013
2019-02-08,5.746,4.3406,10.4849,4.1318
2019-02-08,5.763,4.34,10.4835,4.0937
2019-02-08,5.779,4.3391,10.4803,4.1623
2019-02-08,5.793,4.3376,10.4751,4.17
2019-02-08,5.807,4.3362,10.4673,4.1738
2019-02-08,5.824,4.3348,10.463,4.1814
2019-02-08,5.842,4.3344,10.4564,4.3454
2019-02-08,5.86,4.3342,10.4527,4.3607
2019-02-08,5.879,4.333,10.451,4.3721
2019-02-08,5.895,4.332,10.4488,4.3683
2019-02-08,5.91,4.3304,10.4516,4.3416
2019-02-08,5.928,4.3282,10.4549,4.3607
2019-02-08,5.945,4.3265,10.4593,4.3645
2019-02-08,5.96,4.325,10.4583,4.3454
2019-02-08,5.976,4.3239,10.4628,4.1471
2019-02-08,5.992,4.3227,10.4713,4.17
2019-02-08,6.009,4.3218,10.4668,4.1547
2019-02-08,6.029,4.3213,10.4747,4.1471
2019-02-08,6.048,4.3209,10.4749,4.2196
2019-02-08,6.064,4.3206,10.4804,4.2463
2019-02-08,6.08,4.3205,10.48,4.2501
2019-02-08,6.097,4.3207,10.4839,4.2348
2019-02-08,6.113,4.3209,10.4758,4.2463
2019-02-08,6.13,4.3213,10.4781,4.2119
2019-02-08,6.141,4.3214,10.4775,4.2539
2019-02-08,6.152,4.3211,10.4761,4.2692
2019-02-08,6.167,4.3209,10.477,4.2386
2019-02-08,6.184,4.3208,10.4811,4.2577
2019-02-08,6.203,4.321,10.4837,4.2997
2019-02-08,6.222,4.3215,10.48,4.2997
2019-02-08,6.239,4.3221,10.4867,4.2806
2019-02-08,6.253,4.3231,10.4873,4.2692
2019-02-08,6.267,4.3236,10.4861,4.273
2019-02-08,6.279,4.3229,10.4871,4.2806
2019-02-08,6.294,4.3223,10.4802,4.273
2019-02-08,6.309,4.3213,10.4741,4.1127
2019-02-08,6.325,4.3182,10.4764,4.0975
2019-02-08,6.34,4.3149,10.4717,4.128
2019-02-08,6.353,4.3128,10.465,4.1127
2019-02-08,6.367,4.3114,10.4715,4.2844
2019-02-08,6.383,4.3104,10.4693,4.2539
2019-02-08,6.399,4.3095,10.4742,4.273
2019-02-08,6.415,4.3078,10.475,4.2959
2019-02-08,6.433,4.3062,10.4682,4.2844
2019-02-08,6.452,4.305,10.4691,4.4561
2019-02-08,6.466,4.3036,10.4664,4.4675
2019-02-08,6.481,4.3026,10.4653,4.4751
2019-02-08,6.496,4.3024,10.4641,4.4866
2019-02-08,6.511,4.3022,10.4632,4.3073
2019-02-08,6.527,4.3019,10.4646,4.3531
2019-02-08,6.543,4.3019,10.462,4.3531
2019-02-08,6.558,4.3024,10.4685,4.3569
2019-02-08,6.578,4.3028,10.4682,4.4408
2019-02-08,6.597,4.3026,10.4741,4.4675
2019-02-08,6.616,4.3021,10.4726,4.4828
2019-02-08,6.634,4.3015,10.4779,4.4942
2019-02-08,6.651,4.3004,10.4833,4.2653
2019-02-08,6.666,4.299,10.4861,4.2768
2019-02-08,6.679,4.2979,10.484,4.2768
2019-02-08,6.695,4.2969,10.4831,4.3035
2019-02-08,6.712,4.2953,10.4804,4.2882
2019-02-08,6.728,4.2927,10.4768,4.189
2019-02-08,6.74,4.2897,10.4823,4.2272
2019-02-08,6.754,4.2873,10.4779,4.2196
2019-02-08,6.766,4.2862,10.4781,4.2157
2019-02-08,6.773,4.2864,10.4702,4.1623
2019-02-08,6.782,4.2867,10.4724,4.128
2019-02-08,6.796,4.2859,10.4705,4.1509
2019-02-08,6.809,4.2843,10.4724,4.17
2019-02-08,6.823,4.2826,10.4705,4.1509
2019-02-08,6.837,4.28,10.4646,4.1547
2019-02-08,6.851,4.277,10.473,4.1585
2019-02-08,6.867,4.2735,10.4665,4.1433
2019-02-08,6.883,4.271,10.4752,4.2692
2019-02-08,6.897,4.27,10.471,4.2959
2019-02-08,6.911,4.2689,10.4676,4.2959
2019-02-08,6.924,4.2675,10.4672,4.2844
2019-02-08,6.938,4.2664,10.4733,4.2501
2019-02-08,6.953,4.2649,10.4657,4.273
2019-02-08,6.968,4.2627,10.4684,4.2768
2019-02-08,6.981,4.2606,10.469,4.2844
2019-02-08,6.994,4.2591,10.4652,4.2768
2019-02-08,7.007,4.2584,10.4646,4.5476
2019-02-08,7.021,4.2578,10.4588,4.5629
2019-02-08,7.036,4.2572,10.4597,4.5553
2019-02-08,7.053,4.2562,10.4595,4.5629
2019-02-08,7.068,4.255,10.4582,4.4027
2019-02-08,7.084,4.2541,10.458,4.4332
2019-02-08,7.106,4.2534,10.4669,4.3989
2019-02-08,7.131,4.2526,10.4655,4.4256
2019-02-08,7.154,4.2516,10.4631,4.4065
2019-02-08,7.172,4.2504,10.4613,4.4103
2019-02-08,7.192,4.2494,10.4593,4.395
2019-02-08,7.213,4.2488,10.4562,4.4103
2019-02-08,7.233,4.2487,10.4489,4.54
2019-02-08,7.253,4.2488,10.4523,4.5514
2019-02-08,7.273,4.2486,10.4522,4.5896
2019-02-08,7.296,4.2483,10.4544,4.5629
2019-02-08,7.322,4.2477,10.4472,4.3226
2019-02-08,7.342,4.2465,10.4504,4.334
2019-02-08,7.36,4.2446,10.4514,4.3607
2019-02-08,7.38,4.2413,10.4561,4.3493
2019-02-08,7.403,4.2385,10.4541,4.3226
2019-02-08,7.423,4.2382,10.4449,4.6048
2019-02-08,7.442,4.2393,10.4471,4.6277
2019-02-08,7.466,4.2399,10.4504,4.6392
2019-02-08,7.488,4.2393,10.4516,4.6392
2019-02-08,7.508,4.2382,10.4536,4.5553
2019-02-08,7.526,4.2369,10.4538,4.54
2019-02-08,7.546,4.2353,10.4501,4.5896
2019-02-08,7.567,4.2334,10.4566,4.5667
2019-02-08,7.587,4.2302,10.4559,4.3531
2019-02-08,7.604,4.2265,10.4531,4.3454
2019-02-08,7.622,4.2235,10.4456,4.3035
2019-02-08,7.64,4.2219,10.4529,4.3302
2019-02-08,7.657,4.2213,10.4539,4.2806
2019-02-08,7.674,4.2216,10.4568,4.2615
2019-02-08,7.692,4.2216,10.4619,4.2882
2019-02-08,7.713,4.2214,10.4597,4.2997
2019-02-08,7.734,4.2209,10.4622,4.2882
2019-02-08,7.756,4.22,10.4591,4.2692
2019-02-08,7.774,4.2188,10.4541,4.2844
2019-02-08,7.793,4.2168,10.4483,4.2806
2019-02-08,7.813,4.2149,10.4428,4.273
2019-02-08,7.832,4.2132,10.4366,4.5209
2019-02-08,7.848,4.2117,10.4314,4.5247
2019-02-08,7.864,4.21,10.4285,4.5171
2019-02-08,7.882,4.2084,10.4256,4.5553
2019-02-08,7.902,4.2073,10.4305,4.3645
2019-02-08,7.924,4.2063,10.4295,4.3531
2019-02-08,7.948,4.2053,10.4291,4.3187
2019-02-08,7.973,4.2044,10.4357,4.3607
